subdirectory,psnr,ssim,lpips,ellipse_time,num_GS
bicycle_4_sh0.1_colors0_depth0.1_quats0_depths_and_sh_sh40.0_depth40.0_grow2d0.0002,24.015886306762695,0.6510887145996094,0.3396429419517517,0.03025477409362793,678192
bicycle_4_sh0.1_colors0_depth0_quats0_rendered_sh_coeffs_sh10.0_grow2d0.0002,23.496137619018555,0.598042905330658,0.4126119017601013,0.020303058624267577,186193
bicycle_4_sh0.1_colors0_depth0_quats0_means2d_grow2d0.0008,23.88625144958496,0.622990608215332,0.3811013698577881,0.03428901672363281,395456
bicycle_4_sh0_colors0_depth0_quats0.1,23.71431541442871,0.6136301755905151,0.3942139446735382,0.025354623794555664,294971
bicycle_4_sh0.1_colors0_depth0.1_quats0_rendered_sh_coeffs_sh40.0_depth40.0_grow2d0.0002,23.801332473754883,0.6258220672607422,0.37588968873023987,0.03410321235656738,490114
bicycle_4_sh0.1_colors0_depth0_quats0_rendered_sh_coeffs_sh20.0_grow2d0.0002,23.519540786743164,0.6058075428009033,0.40162017941474915,0.02480654716491699,269268
bicycle_4_sh0_colors0.1_depth0_quats0,23.738298416137695,0.6124067306518555,0.39018478989601135,0.024668941497802733,303225
bicycle_4_sh0.1_colors0_depth0.1_quats0_rendered_sh_coeffs_sh10.0_depth10.0_grow2d0.0002,23.510101318359375,0.5974205732345581,0.41643476486206055,0.021226577758789063,185875
bicycle_4_sh0.1_colors0_depth0.1_quats0_depths_and_sh_sh20.0_depth20.0_grow2d0.0002,23.755109786987305,0.6215538382530212,0.38473784923553467,0.02951272964477539,359019
bicycle_4_sh0.1_colors0_depth0.1_quats0_means2d_grow2d0.001,23.76045799255371,0.6132107973098755,0.3962303102016449,0.02538187026977539,291973
bicycle_4_sh0.1_colors0_depth0_quats0_rendered_sh_coeffs_sh40.0_grow2d0.0002,23.749408721923828,0.6248864531517029,0.37312841415405273,0.03233881950378418,477903
bicycle_4_sh0.1_colors0_depth0.1_quats0_means2d_grow2d0.0008,23.91219711303711,0.624245285987854,0.37967535853385925,0.030123682022094728,419827
bicycle_4_sh0.1_colors0_depth0.1_quats0_depths_and_sh_sh10.0_depth10.0_grow2d0.0002,23.60570526123047,0.6043051481246948,0.40884947776794434,0.025838565826416016,222685
bicycle_4_sh0.1_colors0_depth0.1_quats0_rendered_sh_coeffs_sh20.0_depth20.0_grow2d0.0002,23.61781120300293,0.6072983741760254,0.4028739035129547,0.024894866943359375,274726
